Product Name, URL, Price
"HERE&NOW Men Navy Solid Henley Neck T-Shirt",https://www.myntra.com/Tshirts/HERENOW/HERENOW-Men-Navy-Solid-Henley-Neck-T-Shirt/1964364/buy,449
"Duke Stardust Men Printed Pack of 3 Round Neck T-Shirts",https://www.myntra.com/Tshirts/Duke/Duke-Stardust-Men-Printed-Pack-of-3-Round-Neck-T-Shirts/1554405/buy,735
"Rigo Navy & White Striped Smart Fit T-shirt",https://www.myntra.com/Tshirts/Rigo/Rigo-Navy--White-Striped-Smart-Fit-T-shirt/1484688/buy,399
"ETHER Red Polo T-shirt",https://www.myntra.com/Tshirts/ether/ETHER-Red-Polo-T-shirt/1189865/buy,699
"Duke Stardust Men Pack of 3 Printed T-shirts",https://www.myntra.com/Tshirts/Duke-Stardust/Duke-Stardust-Men-Pack-of-3-Printed-T-shirts/1554407/buy,735
"Duke Stardust Men Solid Pack of 2 Polo T-Shirts",https://www.myntra.com/Tshirts/Duke/Duke-Stardust-Men-Solid-Pack-of-2-Polo-T-Shirts/1554418/buy,735
"Red Tape Men Red Solid Polo Collar T-shirt",https://www.myntra.com/Tshirts/Red-Tape/Red-Tape-Men-Red-Solid-Polo-Collar-T-shirt/2530954/buy,419
"Difference of Opinion Navy Printed T-shirt",https://www.myntra.com/Tshirts/Difference-of-Opinion/Difference-of-Opinion-Navy-Printed-T-shirt/1678080/buy,494
"Superdry Men Charcoal Grey Printed Round Neck T-shirt",https://www.myntra.com/Tshirts/Superdry/Superdry-Men-Charcoal-Grey-Printed-Round-Neck-T-shirt/2360889/buy,1644
"Roadster Men Blue & Green Striped Polo Collar T-shirt",https://www.myntra.com/Tshirts/Roadster/Roadster-Men-Blue--Green-Striped-Polo-Collar-T-shirt/2303543/buy,899
"HERE&NOW Men Teal Blue Striped Polo Collar T-shirt",https://www.myntra.com/Tshirts/HERENOW/HERENOW-Men-Teal-Blue-Striped-Polo-Collar-T-shirt/1964374/buy,539
"ETHER Navy & White Striped Polo T-shirt",https://www.myntra.com/Tshirts/ether/ETHER-Navy--White-Striped-Polo-T-shirt/1377369/buy,699
"Difference of Opinion Men Grey Melange Striped Round Neck T-shirt",https://www.myntra.com/Tshirts/Difference-of-Opinion/Difference-of-Opinion-Men-Grey-Melange-Striped-Round-Neck-T-shirt/1669864/buy,549
"Roadster Men Navy Blue & White Striped Round Neck T-shirt",https://www.myntra.com/Tshirts/Roadster/Roadster-Men-Navy-Blue--White-Striped-Round-Neck-T-shirt/1673725/buy,699
"SayItLoud Men Black Solid Round Neck T-shirt",https://www.myntra.com/Tshirts/SayItLoud/SayItLoud-Men-Black-Solid-Round-Neck-T-shirt/1919140/buy,399
"Red Tape Men Coral Pink Solid Polo Collar T-shirt",https://www.myntra.com/Tshirts/Red-Tape/Red-Tape-Men-Coral-Pink-Solid-Polo-Collar-T-shirt/2399404/buy,419
"BOSS Green Men Navy Printed Round Neck T-shirt",https://www.myntra.com/Tshirts/BOSS-Green/BOSS-Green-Men-Navy-Printed-Round-Neck-T-shirt/2363910/buy,13000
"Difference of Opinion Men Grey Printed Round Neck T-Shirt",https://www.myntra.com/Tshirts/Difference-of-Opinion/Difference-of-Opinion-Men-Grey-Printed-Round-Neck-T-Shirt/1669851/buy,549
"Duke Stardust Men Printed Pack of 3 Round Neck T-Shirts",https://www.myntra.com/Tshirts/Duke/Duke-Stardust-Men-Printed-Pack-of-3-Round-Neck-T-Shirts/1554409/buy,735
"Ecko Unltd Men Blue Printed Round Neck T-shirt",https://www.myntra.com/Tshirts/Ecko-Unltd/Ecko-Unltd-Men-Blue-Printed-Round-Neck-T-shirt/2341427/buy,399
"Roadster Men Olive Green Printed Round Neck T-Shirt",https://www.myntra.com/Tshirts/Roadster/Roadster-Men-Olive-Green-Printed-Round-Neck-T-Shirt/1830401/buy,699
"Rigo Navy & White Striped Smart Fit T-shirt",https://www.myntra.com/Tshirts/Rigo/Rigo-Navy--White-Striped-Smart-Fit-T-shirt/1484682/buy,396
"HERE&NOW Men Navy Solid Henley Neck T-Shirt",https://www.myntra.com/Tshirts/HERENOW/HERENOW-Men-Navy-Solid-Henley-Neck-T-Shirt/1964364/buy,449
"Moda Rapido White & Navy Printed Sleeveless T-shirt",https://www.myntra.com/Tshirts/Moda-Rapido/Moda-Rapido-White--Navy-Printed-Sleeveless-T-shirt/1173329/buy,449
"Roadster Men Blue Striped Polo Collar T-shirt",https://www.myntra.com/Tshirts/Roadster/Roadster-Men-Blue-Striped-Polo-Collar-T-shirt/1673732/buy,539
"HRX by Hrithik Roshan Men Black Printed Round Neck T-shirt",https://www.myntra.com/Tshirts/HRX-by-Hrithik-Roshan/HRX-by-Hrithik-Roshan-Men-Black-Printed-Round-Neck-T-shirt/1945471/buy,489
"Moda Rapido Men Grey Melange Solid T-shirt",https://www.myntra.com/Tshirts/Moda-Rapido/Moda-Rapido-Men-Grey-Melange-Solid-T-shirt/1848252/buy,599
"WROGN Men Burgundy Solid Polo T-shirt",https://www.myntra.com/Tshirts/WROGN/WROGN-Men-Burgundy-Solid-Polo-T-shirt/1729511/buy,979
"Roadster Men Navy & Blue Melange Colour Blocked T-Shirt",https://www.myntra.com/Tshirts/Roadster/Roadster-Men-Navy--Blue-Melange-Colour-Blocked-T-Shirt/1295511/buy,499
"Duke Stardust Men Solid Pack of 2 Polo T-Shirts",https://www.myntra.com/Tshirts/Duke/Duke-Stardust-Men-Solid-Pack-of-2-Polo-T-Shirts/1554417/buy,735
"Moda Rapido Pack of 2 T-shirts",https://www.myntra.com/Tshirts/Moda-Rapido/Moda-Rapido-Pack-of-2-T-shirts/1128078/buy,699
